2285473.29,9.74,-1.633,1.067,0.037,0.01,0.012,3
2285473.3,9.734,-1.61,1.056,0.036,0.01,0.012,3
2285473.312,9.73,-1.594,1.055,0.036,0.008,0.012,3
2285473.32,9.73,-1.594,1.055,0.035,0.004,0.012,3
2285473.33,9.701,-1.595,1.044,0.035,0.001,0.011,3
2285473.34,9.686,-1.598,1.029,0.029,-0.002,0.01,3
2285473.35,9.706,-1.604,1.049,0.027,-0.001,0.009,3
2285473.36,9.718,-1.613,1.028,0.021,-0.002,0.009,3
2285473.37,9.72,-1.627,1.038,0.015,-0.003,0.007,3
2285473.38,9.731,-1.624,1.068,0.007,-0.005,0.006,3
2285473.39,9.72,-1.627,1.08,0.001,-0.005,0.005,3
2285473.4,9.702,-1.632,1.089,-0.005,-0.005,0.004,3
2285473.41,9.714,-1.643,1.111,-0.01,-0.004,0.003,3
2285473.419,9.717,-1.647,1.124,-0.012,-0.002,0.001,3
2285473.43,9.724,-1.654,1.14,-0.015,-0.002,0.001,3
2285473.44,9.697,-1.654,1.163,-0.015,-0.001,0.001,3
2285473.45,9.702,-1.665,1.189,-0.016,-0.001,-0.001,3
2285473.46,9.692,-1.674,1.202,-0.013,-0.001,-0.001,3
2285473.47,9.694,-1.681,1.207,-0.01,0,0,3
2285473.48,9.686,-1.686,1.219,-0.006,0.001,0.001,3
2285473.49,9.675,-1.703,1.219,-0.002,0.002,0.002,3
2285473.499,9.669,-1.722,1.229,-0.001,0.002,0.003,3
2285473.51,9.669,-1.722,1.229,0.001,0.001,0.003,3
2285473.52,9.667,-1.735,1.216,0.004,0,0.004,3
2285473.529,9.666,-1.736,1.219,0.005,0.003,0.005,3
2285473.539,9.655,-1.731,1.216,0.005,0.005,0.006,3
2285473.55,9.635,-1.732,1.207,0.006,0.006,0.007,3
2285473.56,9.646,-1.726,1.215,0.009,0.005,0.009,3
2285473.57,9.657,-1.729,1.227,0.009,0.005,0.01,3
2285473.58,9.662,-1.702,1.224,0.011,0.006,0.012,3
2285473.59,9.657,-1.688,1.233,0.013,0.008,0.013,3
2285473.6,9.669,-1.678,1.23,0.017,0.01,0.013,3
2285473.609,9.675,-1.682,1.223,0.02,0.01,0.013,3
2285473.62,9.688,-1.674,1.215,0.022,0.01,0.015,3
2285473.63,9.697,-1.656,1.199,0.024,0.011,0.014,3
2285473.639,9.69,-1.648,1.182,0.024,0.011,0.014,3
2285473.65,9.69,-1.653,1.165,0.024,0.013,0.014,3
2285473.66,9.68,-1.647,1.155,0.021,0.013,0.013,3
2285473.67,9.705,-1.635,1.133,0.018,0.013,0.012,3
2285473.68,9.728,-1.63,1.122,0.016,0.014,0.012,3
2285473.69,9.729,-1.63,1.129,0.012,0.015,0.012,3
2285473.7,9.708,-1.632,1.118,0.01,0.018,0.012,3
2285473.709,9.673,-1.639,1.094,0.005,0.02,0.011,3
2285473.72,9.673,-1.639,1.094,0.002,0.02,0.01,3
2285473.73,9.698,-1.654,1.096,0.002,0.02,0.01,3
2285473.74,9.697,-1.658,1.075,-0.003,0.019,0.008,3
2285473.75,9.684,-1.632,1.082,-0.005,0.019,0.009,3
2285473.76,9.708,-1.609,1.123,-0.004,0.018,0.007,3
2285473.77,9.711,-1.62,1.13,-0.002,0.013,0.008,3
2285473.78,9.709,-1.622,1.14,0.003,0.01,0.01,3
2285473.79,9.713,-1.619,1.135,0.009,0.009,0.01,3
2285473.82,9.711,-1.604,1.108,0.024,0.004,0.009,3
2285473.83,9.709,-1.631,1.104,0.024,0.001,0.009,3
2285473.839,9.701,-1.643,1.101,0.023,0.001,0.01,3
2285473.85,9.688,-1.661,1.078,0.019,0.003,0.008,3
2285473.86,9.666,-1.671,1.074,0.013,0.005,0.007,3
